,Cr100,Cr100b,Cr10a,Cr10b,Cr20a,Cr20b,Cr40a,Cr40b,Cr60a,Cr60b,Cr80a,Cr80b,Amb,Ama
3930,0.00928413,0.009422287,0.013159778,0.013413275,0.011257415,0.01176772,0.00747084,0.007822813,0.019932274,0.020359232,0.01989228,0.02011826,0.016472193,0.016087722
3928,0.009178109,0.009320737,0.013052571,0.013341644,0.011128335,0.011664909,0.007329561,0.007707376,0.019822657,0.020240838,0.019775748,0.019986347,0.016410274,0.015981171
3926,0.009139427,0.00928032,0.013022528,0.013328315,0.011086381,0.011617397,0.007268224,0.00767267,0.019803371,0.0202103,0.019747034,0.019937587,0.016412777,0.015935998
3924,0.009181364,0.009321358,0.013082827,0.013389555,0.011155635,0.011651257,0.007317077,0.007745769,0.019890936,0.020274851,0.019819698,0.019998685,0.016469969,0.015976221
3922,0.009270638,0.009412886,0.013195562,0.013484937,0.011294136,0.011742227,0.007440272,0.007881432,0.020030944,0.020384022,0.019949336,0.020121762,0.016538853,0.016071589
3920,0.009355725,0.009499106,0.01329989,0.013552702,0.011426203,0.011835034,0.00756362,0.008002563,0.020140569,0.020475021,0.020067144,0.020229744,0.016580418,0.016166972
3918,0.009400453,0.009536398,0.01334136,0.013558939,0.011484942,0.011875341,0.007619118,0.00804652,0.020162106,0.020502077,0.02011629,0.020266956,0.016573873,0.016217546
3916,0.009411216,0.009529264,0.013312521,0.013530565,0.011462295,0.01185698,0.00759486,0.008008395,0.020104882,0.020467506,0.020094149,0.020241738,0.016526327,0.016220698
3914,0.009400603,0.009495191,0.01323844,0.013496666,0.01138509,0.01180211,0.007511492,0.007915956,0.020001928,0.020391522,0.020020309,0.020183326,0.016450845,0.016191322
3912,0.009355158,0.00942548,0.013136803,0.013440302,0.011266862,0.011717934,0.007380383,0.007787538,0.019860911,0.02027451,0.019893525,0.020091597,0.016347847,0.016131714
3910,0.00927398,0.009324389,0.013023223,0.01335613,0.011124412,0.011617419,0.007224557,0.007646998,0.019695154,0.020132465,0.019729315,0.019975894,0.016229046,0.016056407
3908,0.009205433,0.009250468,0.012944309,0.013295168,0.011019025,0.011554839,0.007120528,0.007559444,0.019571361,0.020033164,0.01960282,0.019900828,0.016148198,0.016013792
