,Whey_a,Whey_b,W10a,W10b,W20a,W20b,W40a,W40b,W60a,W60b,W80a,W80b,Amb,Ama
3928,0.016794272,0.016734722,0.014253072,0.014750039,0.015684461,0.015957338,0.017198198,0.017570884,0.01596763,0.016169179,0.016997709,0.017219599,0.016410274,0.015981171
3926,0.016743784,0.016707358,0.014242101,0.014718492,0.015659712,0.015923732,0.017153911,0.017546524,0.01591826,0.016159969,0.016975501,0.017182104,0.016412777,0.015935998
3924,0.016709628,0.016695956,0.014255895,0.014728804,0.015671523,0.015929782,0.017175456,0.017560743,0.015954468,0.016213673,0.017013902,0.017189936,0.016469969,0.015976221
3922,0.0166932,0.01669956,0.014276136,0.014758881,0.015712562,0.015959701,0.017236988,0.017590232,0.016051326,0.01630396,0.017077552,0.017223243,0.016538853,0.016071589
3920,0.016684193,0.016712738,0.01429172,0.014781002,0.015763265,0.015985916,0.017296874,0.017606137,0.016156369,0.016388226,0.017121244,0.017254865,0.016580418,0.016166972
3918,0.016681067,0.016730555,0.014302967,0.014785143,0.015796492,0.015993522,0.017324878,0.017597092,0.016213247,0.016425451,0.017124273,0.01726381,0.016573873,0.016217546
3916,0.016693493,0.016750758,0.014317452,0.014784957,0.015802191,0.015996999,0.017316168,0.017582117,0.016198606,0.016403953,0.017113023,0.017251487,0.016526327,0.016220698
3914,0.016717718,0.016765433,0.014330724,0.014788147,0.015786183,0.016004526,0.017275573,0.017573258,0.016125883,0.016336561,0.017111557,0.017219338,0.016450845,0.016191322
3912,0.016727747,0.016760138,0.014323341,0.014780112,0.015753194,0.015995126,0.017204294,0.017549107,0.016019978,0.016239914,0.017099939,0.017152522,0.016347847,0.016131714
3910,0.016707617,0.0167303,0.014291695,0.014753183,0.01571713,0.015965186,0.017115994,0.017499004,0.015909017,0.016138235,0.01706699,0.017058776,0.016229046,0.016056407
3908,0.016674762,0.016693393,0.014262392,0.014728584,0.015706316,0.015953451,0.017051566,0.017458217,0.015837605,0.016077336,0.017045459,0.01699067,0.016148198,0.016013792
3906,0.016657989,0.016674622,0.014256577,0.014725175,0.015722828,0.015973426,0.01704843,0.017457147,0.015843957,0.016090477,0.017042258,0.016982313,0.016159731,0.016031431
3904,0.016672154,0.016685444,0.014280622,0.014742956,0.015748053,0.01599355,0.017107423,0.017490927,0.015913652,0.016152678,0.0170578,0.017022882,0.016244769,0.016086383
3902,0.016696261,0.016706113,0.014324819,0.014761469,0.015770129,0.015991719,0.017170238,0.017523699,0.015969494,0.01618615,0.017103358,0.017076961,0.016305149,0.016119525
3900,0.016703406,0.01671526,0.014364791,0.014767477,0.015788115,0.015986797,0.017195418,0.017539457,0.015981983,0.016174638,0.017164357,0.017134742,0.016314616,0.016117314
3898,0.016692047,0.016716441,0.014379345,0.014768068,0.015797193,0.015990599,0.017199866,0.017547481,0.015990824,0.016171832,0.01720503,0.017189536,0.016326326,0.016111329
3896,0.016672019,0.01672319,0.014369735,0.014774469,0.015794558,0.015998178,0.017210667,0.017553549,0.016026504,0.016211685,0.0172137,0.017225676,0.016365998,0.016120872
3894,0.016659797,0.016742202,0.014356666,0.014791221,0.015785787,0.016005042,0.017240936,0.017560755,0.016079014,0.01627231,0.017212072,0.017244359,0.016413741,0.016139054
3892,0.016668593,0.016764933,0.014365095,0.014817237,0.015788081,0.016015457,0.017281055,0.017576045,0.016108494,0.016298531,0.017240096,0.017265424,0.016433176,0.016149533
3890,0.016676606,0.016761029,0.01437652,0.014822858,0.015787374,0.016002072,0.017275016,0.017564173,0.016066366,0.016236493,0.017250261,0.017259787,0.016383997,0.016104402
3888,0.016669877,0.01671642,0.014364614,0.014795006,0.015770656,0.015955003,0.017198083,0.017508769,0.015960263,0.016103636,0.017201426,0.017206192,0.016278137,0.01599824
3886,0.016660163,0.016654238,0.014326866,0.014753423,0.015744193,0.015894786,0.017096625,0.017432838,0.015853392,0.015979934,0.017108072,0.017123749,0.016175226,0.015881815
3884,0.016656072,0.016603137,0.014275146,0.014714111,0.015713467,0.015835158,0.017019815,0.017354185,0.015776196,0.015912131,0.016993906,0.01702712,0.016095644,0.015788248
3882,0.016658822,0.01657277,0.014240875,0.014686258,0.015697353,0.015804258,0.016980392,0.017299197,0.015718949,0.015893114,0.016908551,0.016939026,0.016025574,0.015731879
3880,0.016675307,0.016561747,0.014255166,0.014682827,0.015722416,0.015836082,0.016980866,0.017308784,0.01569925,0.015916875,0.016901018,0.016904747,0.015990617,0.01573976
3878,0.016710726,0.016567286,0.014309451,0.014705324,0.015780724,0.015913658,0.017016731,0.017382213,0.015740948,0.015975475,0.016949558,0.016931617,0.016019583,0.015810628
3876,0.016769767,0.01659563,0.014378966,0.014759009,0.015849259,0.015997093,0.017085369,0.017488511,0.015841052,0.016056374,0.017017486,0.017003355,0.016112327,0.01592042
3874,0.016852471,0.016654406,0.01444897,0.014859342,0.015916579,0.016069795,0.017187156,0.0176012,0.015976255,0.016154258,0.017109616,0.017117557,0.016253013,0.016048531
3872,0.016934104,0.016721049,0.01450262,0.014992075,0.015971012,0.016132873,0.017290726,0.017692932,0.016093001,0.016245053,0.017243221,0.017254421,0.016386065,0.016161039
3870,0.016972891,0.016755808,0.014527037,0.015106674,0.016007773,0.016200342,0.017357652,0.017752953,0.016159763,0.016309906,0.017405898,0.017380958,0.016468995,0.016241147
3868,0.016949312,0.01674611,0.014517009,0.015151189,0.016017192,0.016258345,0.017378018,0.017776331,0.016186365,0.016345197,0.017516462,0.017454618,0.016506611,0.016284465
3866,0.016892367,0.016714549,0.014482069,0.015115062,0.015985995,0.016270694,0.01735933,0.017755889,0.01617077,0.016334663,0.017511823,0.01744142,0.016499746,0.016272266
3864,0.016868992,0.0167067,0.014478562,0.015070841,0.015967426,0.016281865,0.017356742,0.017756412,0.016147316,0.016314352,0.017514361,0.017427086,0.016497088,0.016268086
3862,0.016887077,0.016737686,0.014531296,0.015078346,0.016015481,0.016344436,0.017405575,0.017824112,0.016166214,0.016340294,0.017642576,0.017509804,0.016556466,0.016349672
3860,0.016845195,0.016751862,0.014547569,0.015064065,0.016053736,0.016367924,0.017405193,0.017830288,0.016170155,0.016354963,0.017717797,0.01757966,0.016593745,0.016412305
3858,0.016684258,0.016702567,0.014458524,0.01495221,0.015997653,0.016266606,0.017263652,0.017659485,0.016092039,0.016288141,0.017533546,0.01749568,0.016509756,0.016323385
3856,0.016524337,0.016631085,0.014344521,0.014815944,0.015891309,0.016113157,0.017087179,0.017436031,0.01598793,0.01619161,0.017208358,0.017328286,0.016372563,0.016153406
3854,0.016535633,0.016630412,0.01436721,0.014826926,0.0158871,0.016104349,0.017089224,0.017438156,0.015983183,0.016203046,0.017147702,0.017327912,0.016362646,0.016154242
3852,0.016664626,0.01666422,0.014479008,0.014924884,0.015943414,0.016228803,0.017163316,0.017605501,0.015980201,0.016219662,0.017352979,0.017434277,0.016365747,0.016235761
3850,0.016786739,0.016693833,0.014556835,0.01499666,0.015965575,0.016322561,0.017219952,0.017745365,0.01599371,0.016227514,0.017526237,0.017508692,0.016366634,0.016272896
3848,0.01684022,0.016704757,0.014552803,0.014999356,0.015921143,0.016284078,0.017228865,0.017748569,0.016015726,0.016230189,0.017491316,0.01747374,0.016347932,0.01621883
3846,0.016849528,0.016696932,0.014516283,0.014964708,0.015860257,0.016191311,0.017191827,0.017665261,0.016005661,0.016212277,0.017347896,0.01738334,0.016284233,0.016111477
3844,0.016873228,0.016687866,0.014508146,0.014946915,0.015837802,0.016155202,0.017160472,0.017612845,0.015982634,0.016191695,0.017261702,0.017340374,0.016218694,0.016028537
3842,0.016923603,0.016704272,0.014542992,0.014976156,0.015870964,0.016210977,0.01720082,0.017663248,0.016016195,0.016227958,0.017305452,0.01740669,0.016242536,0.016041404
3840,0.016945963,0.016737244,0.01456445,0.015001876,0.01589917,0.016267159,0.017273798,0.017734244,0.016080007,0.016298165,0.017370269,0.01748224,0.016313387,0.016084012
3838,0.016915317,0.016758314,0.014545791,0.014979733,0.015888634,0.016259067,0.017297507,0.017731888,0.016097426,0.016330798,0.017376502,0.017460818,0.016322597,0.016065101
3836,0.016855667,0.016749478,0.01449726,0.014917181,0.01584891,0.016191622,0.017245519,0.017648721,0.016053801,0.016293162,0.017315808,0.017339141,0.016250093,0.015971277
3834,0.016806354,0.016728735,0.014447407,0.014866558,0.015818956,0.016122832,0.017181864,0.017563365,0.016014063,0.016236426,0.017245134,0.017214751,0.016189047,0.015884736
3832,0.016794969,0.016727031,0.014427286,0.01487155,0.015835092,0.016117732,0.017180381,0.017551361,0.016029882,0.016229027,0.017240248,0.017182748,0.016217116,0.015888595
3830,0.016816683,0.016744913,0.014437041,0.01491677,0.015882846,0.016172258,0.017234603,0.017597715,0.016071967,0.016266534,0.017301729,0.017227637,0.016297246,0.01596548
3828,0.016831669,0.016752688,0.014441368,0.014945005,0.015906045,0.016210335,0.017269949,0.017615424,0.016071363,0.01628285,0.017340176,0.01724513,0.01633038,0.016020043
3826,0.016811148,0.016729538,0.014414839,0.014924743,0.015874178,0.016177761,0.017235221,0.017556643,0.016000025,0.01622861,0.017291425,0.017172719,0.016272581,0.015991126
3824,0.016784376,0.016701336,0.014391681,0.014903055,0.015841199,0.016131761,0.017190824,0.017500584,0.015933827,0.016157585,0.017235473,0.017099816,0.016219557,0.015953228
3822,0.016788401,0.016706657,0.014411976,0.014933448,0.015867122,0.016149772,0.017229342,0.017534684,0.015970315,0.016169028,0.017257642,0.017141002,0.016290228,0.01601026
3820,0.016800053,0.01672258,0.014448516,0.01497293,0.01591268,0.016201927,0.017299491,0.017597191,0.016041707,0.01622202,0.01730055,0.017233666,0.016394205,0.016099806
3818,0.016781796,0.016702845,0.014457796,0.014956631,0.015913008,0.016221005,0.017288204,0.017590845,0.016023003,0.016205779,0.017282918,0.017260066,0.016381316,0.016103273
3816,0.016761092,0.016667324,0.014459593,0.014920227,0.015896399,0.016222544,0.017231195,0.017560879,0.015965103,0.016155423,0.017258619,0.017262832,0.016318409,0.016065346
3814,0.016764062,0.016651076,0.014470597,0.014904092,0.015895289,0.016224852,0.017200435,0.01755863,0.015953444,0.016142324,0.017264606,0.017292182,0.016301894,0.016046556
3812,0.016765311,0.016651267,0.014470627,0.014887836,0.01589287,0.016208375,0.017186775,0.017553772,0.015976783,0.01615843,0.017246793,0.017312788,0.016313651,0.016023723
3810,0.016742169,0.016650182,0.014454474,0.01485442,0.015883412,0.016176754,0.017159236,0.017521839,0.015988667,0.01616322,0.017186545,0.017294808,0.016303765,0.015975132
3808,0.016712857,0.016644761,0.014449131,0.014835409,0.015899342,0.016172575,0.017131789,0.017493625,0.015988466,0.016156424,0.017148029,0.017272158,0.016281199,0.015939093
3806,0.016705223,0.01663516,0.014461212,0.014861462,0.015947669,0.016209115,0.01712694,0.017491327,0.015994026,0.016157932,0.017169564,0.01727971,0.016276793,0.015946116
3804,0.016710543,0.016603667,0.014446345,0.01489826,0.015960008,0.01622194,0.017110014,0.017469556,0.015970457,0.016139826,0.017179839,0.017270402,0.016255205,0.015938554
3802,0.016693022,0.016539511,0.014369717,0.014884803,0.015867519,0.016134663,0.017031744,0.017375412,0.015873052,0.016054353,0.017076617,0.017163267,0.016159034,0.015840956
3800,0.016655465,0.016483609,0.014284955,0.014843377,0.015729017,0.015989681,0.016945489,0.01726781,0.01576578,0.015950058,0.0169077,0.017005162,0.016051103,0.015720529
3798,0.016635358,0.016485099,0.01426496,0.014840581,0.015659629,0.015905084,0.016942156,0.017247429,0.015741463,0.015915684,0.016815963,0.016923339,0.016033589,0.015698011
3796,0.01662826,0.016528982,0.014278926,0.014856738,0.015651022,0.015893469,0.01699756,0.017283202,0.015776541,0.01593952,0.016782037,0.0169165,0.016079829,0.015737112
3794,0.016613751,0.01656765,0.014264418,0.014837757,0.015628803,0.015896922,0.017032654,0.01729324,0.015791953,0.015952983,0.016720471,0.016906955,0.016100199,0.015735591
3792,0.016597134,0.016577884,0.014218745,0.014782114,0.015570035,0.015888858,0.017019175,0.017260581,0.015764557,0.015928127,0.016631367,0.016865849,0.016066265,0.015671623
3790,0.016589597,0.016565303,0.014170092,0.014719196,0.015494832,0.015862716,0.016972686,0.017204884,0.015722258,0.01588055,0.016546772,0.016806435,0.016007787,0.015584746
3788,0.016587001,0.016543984,0.014134399,0.014664196,0.015426671,0.015816518,0.016907795,0.017141579,0.015679169,0.015824165,0.016490248,0.016744746,0.015944889,0.015510167
3786,0.016564373,0.016518978,0.014091226,0.014595426,0.015352127,0.015729875,0.016815251,0.017050618,0.015614931,0.015749214,0.01641827,0.016655141,0.015857861,0.015428867
3784,0.016526016,0.016498301,0.014041242,0.01451578,0.015271375,0.0156187,0.016718779,0.016944989,0.015536444,0.015666493,0.016321589,0.016541877,0.015752943,0.015343117
3782,0.016506158,0.016491905,0.014023164,0.01447025,0.01522361,0.015542169,0.016676156,0.016879755,0.015494552,0.015616376,0.016260917,0.016465638,0.015685688,0.015304833
3780,0.016516994,0.016491988,0.014055619,0.014480801,0.015238759,0.015536218,0.016696986,0.016878483,0.0155002,0.015604948,0.016287123,0.016465988,0.015676041,0.01533405
3778,0.01653474,0.016487396,0.014113108,0.01452173,0.015309871,0.015591281,0.016736089,0.016918071,0.01551513,0.015608574,0.016396368,0.016528356,0.015695175,0.015397971
3776,0.016527202,0.016484079,0.014149157,0.01455144,0.015391938,0.015655815,0.016753264,0.016947409,0.01552341,0.015622977,0.016497511,0.016593072,0.015720901,0.015445057
3774,0.016500822,0.016498257,0.014157013,0.014564688,0.015454581,0.015701446,0.016754773,0.016950355,0.015548867,0.015661373,0.016530832,0.016623831,0.015756114,0.015460424
3772,0.016493115,0.016534472,0.014170203,0.014585538,0.015499778,0.015738644,0.016774318,0.016957386,0.015614808,0.015724632,0.016527506,0.016635,0.015813457,0.015469048
3770,0.0165254,0.016569971,0.01421062,0.014620897,0.015535042,0.015775899,0.016816436,0.016994456,0.015687212,0.015777237,0.016553896,0.016649762,0.015871575,0.015488571
3768,0.01658042,0.01657468,0.014261206,0.014648513,0.015557977,0.01581172,0.016841598,0.01704954,0.015700185,0.015781647,0.016629751,0.016671137,0.015886125,0.01550646
3766,0.016631235,0.016549685,0.014291395,0.014653182,0.015559403,0.015841148,0.016829297,0.017092396,0.015655877,0.015756274,0.016700881,0.016692105,0.015862765,0.015510181
3764,0.016662863,0.01651584,0.014289019,0.014638989,0.015530695,0.015851206,0.01679464,0.017099023,0.015601799,0.015730712,0.016708362,0.016693997,0.015828891,0.015492083
3762,0.01668853,0.016497971,0.014290609,0.01464243,0.015513358,0.015871821,0.016787521,0.017111789,0.015572697,0.01572029,0.016730195,0.016706706,0.01581319,0.015492043
3760,0.016722792,0.016518622,0.014337629,0.014703801,0.015571743,0.015948675,0.016859192,0.017195784,0.015591298,0.015753976,0.016869832,0.016790294,0.015862615,0.015576029
3758,0.016776861,0.0165928,0.014445817,0.014845282,0.015743254,0.016111164,0.017026215,0.017380938,0.015681753,0.015879411,0.017136406,0.016990149,0.016029428,0.015787388
3756,0.016874698,0.016725175,0.014625415,0.015076324,0.016030713,0.016381231,0.017277082,0.017669757,0.0158735,0.016130839,0.017500678,0.017330049,0.016345118,0.016133983
3754,0.01703204,0.016902371,0.014877079,0.015379889,0.016397315,0.016744592,0.017584384,0.018042062,0.016170926,0.016484488,0.017955979,0.017792843,0.016788323,0.016581222
3752,0.017189995,0.017073121,0.015129814,0.015663693,0.016727354,0.017078748,0.01786333,0.018389442,0.016484572,0.016818367,0.018421539,0.018240725,0.017219588,0.016997808
3750,0.017221604,0.017153761,0.015228889,0.015772337,0.016840481,0.017175175,0.017955037,0.018501881,0.016628145,0.016946041,0.018641009,0.01840866,0.017386917,0.017152406
3748,0.017106541,0.017116123,0.015126808,0.015674345,0.016706683,0.017008075,0.017819734,0.018338109,0.016533466,0.016825854,0.018514889,0.01823184,0.017219624,0.016999141
3746,0.01696734,0.017012383,0.014952876,0.015495119,0.016493483,0.016776089,0.017596545,0.018097195,0.016321251,0.016590854,0.018257953,0.017934773,0.016915319,0.016737228
3744,0.016909742,0.01690418,0.014843128,0.015347159,0.016352616,0.016628935,0.017412047,0.017946452,0.016106378,0.016351187,0.018081178,0.017693785,0.016639785,0.016505849
3742,0.016905351,0.016805192,0.014787201,0.01522367,0.016262469,0.016497432,0.017250979,0.017829184,0.015892856,0.016109667,0.017894416,0.017439692,0.016370421,0.016232971
3740,0.016871247,0.016710324,0.014717382,0.015095651,0.016152293,0.016283095,0.017084526,0.017647811,0.015703513,0.015891754,0.017547877,0.017120297,0.016105642,0.015881251
3738,0.016801589,0.016647717,0.014654011,0.015020545,0.016059144,0.016064785,0.017013371,0.017484816,0.015666653,0.015819375,0.017178912,0.01691579,0.016008358,0.015635805
3736,0.016736918,0.01664994,0.014655407,0.015054245,0.016057353,0.015991334,0.017133548,0.017474383,0.015837695,0.015947336,0.017050923,0.016992463,0.016169876,0.015680545
3734,0.016680329,0.016678254,0.01469818,0.015116074,0.01611731,0.016082239,0.017310312,0.017572301,0.016008532,0.016101907,0.01717613,0.017209325,0.016365644,0.015882922
3732,0.016656054,0.016709787,0.014763757,0.015169915,0.016223339,0.016289489,0.017476605,0.017746084,0.016136052,0.016266348,0.01745197,0.01748865,0.01656481,0.01615242
3730,0.016675077,0.016745641,0.014834526,0.015238654,0.01635597,0.01650551,0.017671831,0.017973635,0.01632508,0.016525526,0.01776008,0.017829038,0.016880396,0.016495046
